Species,Family,Anterior.SpMean,Posterior.SpMean,Lingual.SpMean,Labial.SpMean,Tip.Av.SpMean,Length,SHSpM.PC1,SHSpM.PC2,SHSpM.PC3,SHSpM.PC3.1,GMSpM.PC1,GMSpM.PC2,GMSpM.PC3,GMSpM.PC4,GMSpM.PC5,GMSpM.PC6,GMSpM.PC7,GMSpM.PC8,Midline.length,log.Midline.length,Csize.SpMean,Base.area.SpMean,sqrt.Base.area.SpMean,Lateral.width.SpMean,Body.mass,logBody.mass,loglogBodyMass.residual
Ailuropoda_melanoleuca,Urside,19.839,14.383,14.478,20.889,15.746,12.395,-0.859383347,-0.610320839,0.181903609,-0.66028143,-0.246743214,0.012299035,0.034237242,-0.011627013,0.006357766,0.017040618,-0.005989744,0.003223456,12.395,1.093246531,31.25255673,77.6272095,8.810630483,8.31,108400,5.035029282,-0.176837974
Ailurus_fulgens,Ailuridae,19.564,16.169,18.198,17.55,14.633,7.482,-0.693650317,-0.015521581,-0.59163742,0.263640175,-0.081774369,0.044792483,0.009525635,0.021661907,-0.003822525,0.013349776,-5.48E-05,-0.016248787,7.482,0.874017704,15.98684077,14.6856955,3.832191997,3.96,4900,3.69019608,-0.002178984
Atilax_paludinosus,Herpestidae,19.164,14.919,17.497,21.336,16.861,8.628,-0.954737048,-0.023038344,1.597947675,0.270660781,-0.099946173,0.068567127,0.01133615,-0.00538027,-0.001900447,-0.002508418,0.005869314,0.00011,8.628,0.935910136,18.89039858,21.1722826,4.601334872,4.45,3300,3.51851394,0.109997381
Bdeogale_jacksoni,Herpestidae,14.283,14.309,22.057,21.425,14.294,7.312,0.717087227,-1.174017545,-0.202915762,-2.347553301,-0.035316281,0.007577905,-0.001424325,-0.063347111,-0.009098548,0.007052466,-0.013105556,0.011943304,7.312,0.864036183,15.39568529,11.3297143,3.365964097,3.05,2500,3.397940009,0.073438293
Canis_aureus,Canidae,22.79,14.058,15.44,20.014,15.82685723,10.182,1.377140324,-1.099460326,-1.170913282,-0.353823347,0.029180232,-0.019667434,-0.046699891,-0.012008467,-0.012388756,-0.019140603,-0.004654159,0.008957152,10.182,1.007833093,20.48698164,17.668634,4.203407427,4.04,10345.2,4.014738891,0.036581152
Canis_latrans,Canidae,22.04266667,14.66366667,14.429,20.847,15.279717,13.48966667,-0.207807763,0.227530334,-0.560587926,0.011500994,0.038137968,0.038191861,-0.032001462,-0.016559604,-0.008372947,-0.006503809,-0.009266679,-0.009984197,13.48966667,1.129707626,26.91013877,29.0673942,5.382593341,5.296666667,13406.3,4.127308934,0.125485077
Canis_mesomelas,Canidae,20.696,14.208,14.205,21.478,15.72910423,13.366,-0.466486112,-0.009873658,-0.470767945,-0.040386896,0.052925662,0.054904311,-0.035189842,-0.010304446,0.008970777,0.003716135,0.009782248,-0.012323762,13.366,1.126001457,26.30414731,26.5254087,5.15028239,5.09,8500,3.929418926,0.179738857
Conepatus_leuconotus,Mephitidae,18.759,18.129,22.327,20.078,16.128,5.461,-0.195242734,0.177352653,-0.365081439,-0.284879403,-0.083515351,-0.030574768,-0.086230034,0.014317112,-0.013960002,0.030325205,-0.02728326,0.018672113,5.461,0.737272177,12.02466924,8.51677641,2.91835166,2.93,3500,3.544068044,-0.096125112
Crocuta_crocuta,Hyaenidae,20.771,12.46,14.202,21.532,13.433,18.816,-0.754130081,-0.063856704,-0.172070184,0.294364291,-0.04375662,0.029592632,0.00818186,0.01881622,0.010960904,-0.020273893,0.000659,0.012442562,18.816,1.274527304,39.70138413,81.6356681,9.035245879,9.45,62999.9,4.79933986,0.073473807
Dasyurus_geoffroii,Dasyuridae,20.531,15.736,23.111,20.396,14.859,4.068,0.301185931,0.626926786,-0.86311922,0.747694436,-0.035811712,-0.008837542,0.004181698,0.007517115,0.027056937,0.022286785,0.003853838,-0.012794313,4.068,0.609380944,8.491693219,3.63623674,1.906891906,1.9,1100,3.041392685,-0.076787901
